region,date,frequency,estimated_unemployment_rate_pct,estimated_employed,estimated_labour_participation_rate_pct,area,year,month,month_name,quarter,quarter_label,covid_period
Uttar Pradesh,2019-09-30,Monthly,4.34,38478920,44.34,Rural,2019,9,September,3,Q3 (Jul-Sep),Pre-COVID
Uttar Pradesh,2019-10-31,Monthly,4.01,38678450,44.67,Rural,2019,10,October,4,Q4 (Oct-Dec),Pre-COVID
Uttar Pradesh,2019-11-30,Monthly,4.23,38589230,44.45,Rural,2019,11,November,4,Q4 (Oct-Dec),Pre-COVID
Uttar Pradesh,2019-12-31,Monthly,4.56,38423450,44.12,Rural,2019,12,December,4,Q4 (Oct-Dec),Pre-COVID
Uttar Pradesh,2020-01-31,Monthly,5.01,38189230,43.56,Rural,2020,1,January,1,Q1 (Jan-Mar),Pre-COVID
Uttar Pradesh,2020-02-29,Monthly,6.78,37678450,42.23,Rural,2020,2,February,1,Q1 (Jan-Mar),Pre-COVID
Uttar Pradesh,2020-03-31,Monthly,11.23,35678450,39.12,Rural,2020,3,March,1,Q1 (Jan-Mar),COVID
Uttar Pradesh,2020-04-30,Monthly,32.45,26789230,31.23,Rural,2020,4,April,2,Q2 (Apr-Jun),COVID
Uttar Pradesh,2020-05-31,Monthly,29.56,28234560,33.45,Rural,2020,5,May,2,Q2 (Apr-Jun),COVID
Uttar Pradesh,2020-06-30,Monthly,24.67,30456780,36.67,Rural,2020,6,June,2,Q2 (Apr-Jun),COVID
Uttar Pradesh,2020-07-31,Monthly,20.12,32678450,39.12,Rural,2020,7,July,3,Q3 (Jul-Sep),COVID
Uttar Pradesh,2020-08-31,Monthly,17.23,34234560,41.23,Rural,2020,8,August,3,Q3 (Jul-Sep),COVID
Uttar Pradesh,2020-09-30,Monthly,14.56,35789230,42.67,Rural,2020,9,September,3,Q3 (Jul-Sep),COVID
Uttar Pradesh,2020-10-31,Monthly,12.34,37012340,43.89,Rural,2020,10,October,4,Q4 (Oct-Dec),COVID
Uttar Pradesh,2020-11-30,Monthly,10.45,37889230,44.45,Rural,2020,11,November,4,Q4 (Oct-Dec),COVID
Uttar Pradesh,2019-01-31,Monthly,3.56,12234560,41.12,Urban,2019,1,January,1,Q1 (Jan-Mar),Pre-COVID
Uttar Pradesh,2019-02-28,Monthly,3.89,12145670,40.89,Urban,2019,2,February,1,Q1 (Jan-Mar),Pre-COVID
Uttar Pradesh,2019-03-31,Monthly,3.23,12298450,41.34,Urban,2019,3,March,1,Q1 (Jan-Mar),Pre-COVID
Uttar Pradesh,2019-04-30,Monthly,2.98,12367890,41.67,Urban,2019,4,April,2,Q2 (Apr-Jun),Pre-COVID
Uttar Pradesh,2019-05-31,Monthly,2.78,12423450,41.89,Urban,2019,5,May,2,Q2 (Apr-Jun),Pre-COVID
Uttar Pradesh,2019-06-30,Monthly,3.12,12334560,41.45,Urban,2019,6,June,2,Q2 (Apr-Jun),Pre-COVID
Uttar Pradesh,2019-07-31,Monthly,3.67,12234560,41.12,Urban,2019,7,July,3,Q3 (Jul-Sep),Pre-COVID
Uttar Pradesh,2019-08-31,Monthly,4.12,12123450,40.67,Urban,2019,8,August,3,Q3 (Jul-Sep),Pre-COVID
Uttar Pradesh,2019-09-30,Monthly,3.56,12267890,41.23,Urban,2019,9,September,3,Q3 (Jul-Sep),Pre-COVID
Uttar Pradesh,2019-10-31,Monthly,3.23,12334560,41.56,Urban,2019,10,October,4,Q4 (Oct-Dec),Pre-COVID
Uttar Pradesh,2019-11-30,Monthly,3.45,12289450,41.34,Urban,2019,11,November,4,Q4 (Oct-Dec),Pre-COVID
Uttar Pradesh,2019-12-31,Monthly,3.78,12212340,41.01,Urban,2019,12,December,4,Q4 (Oct-Dec),Pre-COVID
Uttar Pradesh,2020-01-31,Monthly,4.34,12098450,40.45,Urban,2020,1,January,1,Q1 (Jan-Mar),Pre-COVID
Uttar Pradesh,2020-02-29,Monthly,5.89,11789230,39.23,Urban,2020,2,February,1,Q1 (Jan-Mar),Pre-COVID
Uttar Pradesh,2020-03-31,Monthly,13.67,10567890,35.67,Urban,2020,3,March,1,Q1 (Jan-Mar),COVID
Uttar Pradesh,2020-04-30,Monthly,35.89,7834560,28.12,Urban,2020,4,April,2,Q2 (Apr-Jun),COVID
Uttar Pradesh,2020-05-31,Monthly,32.45,8456780,30.67,Urban,2020,5,May,2,Q2 (Apr-Jun),COVID
Uttar Pradesh,2020-06-30,Monthly,27.34,9234560,33.45,Urban,2020,6,June,2,Q2 (Apr-Jun),COVID
Uttar Pradesh,2020-07-31,Monthly,22.78,10123450,36.23,Urban,2020,7,July,3,Q3 (Jul-Sep),COVID
Uttar Pradesh,2020-08-31,Monthly,19.45,10789230,38.45,Urban,2020,8,August,3,Q3 (Jul-Sep),COVID
Uttar Pradesh,2020-09-30,Monthly,16.78,11234560,39.89,Urban,2020,9,September,3,Q3 (Jul-Sep),COVID
Uttar Pradesh,2020-10-31,Monthly,14.23,11678450,40.89,Urban,2020,10,October,4,Q4 (Oct-Dec),COVID
Uttar Pradesh,2020-11-30,Monthly,12.12,12012340,41.23,Urban,2020,11,November,4,Q4 (Oct-Dec),COVID
